"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S1","rep07","phi_vector",NA,NA,1.41476336818553e-16,0.000266838095932657,NA,NA,1
"S1","rep08","beta0",-1.5,-1.486917892521,0.0130821074790031,0.000171141536092188,-1.50581756199507,-1.46783005708081,1
"S1","rep08","beta1",0.5,0.489496362107687,-0.0105036378923127,0.000110326408972828,0.469747075712689,0.508269285739216,1
"S1","rep08","beta2",-0.4,-0.395133145213833,0.00486685478616744,2.36862755096409e-05,-0.414325730587257,-0.3753293936895,1
"S1","rep08","r_mean",15,14.6745919376888,-0.325408062311174,0.105890407017113,13.144705835695,16.2930299761199,1
"S1","rep08","phi_vector",NA,NA,-2.58281050867658e-16,0.0010887689368752,NA,NA,1
"S1","rep09","beta0",-1.5,-1.50698635851732,-0.00698635851731799,4.88092053325017e-05,-1.52582768299524,-1.48860150116355,1
"S1","rep09","beta1",0.5,0.51045759461542,0.01045759461542,0.00010936128514046,0.492799127482178,0.529467270358968,1
"S1","rep09","beta2",-0.4,-0.405792268833137,-0.00579226883313699,3.35503782353302e-05,-0.424406164612183,-0.387044819259228,1
"S1","rep09","r_mean",15,15.6494089718035,0.649408971803529,0.421732012658917,14.0054020787428,17.4809373344657,1
"S1","rep09","phi_vector",NA,NA,6.93889390390723e-17,0.000609083381012884,NA,NA,1
"S1","rep10","beta0",-1.5,-1.4990640192105,0.000935980789500412,8.76060038313815e-07,-1.517481708986,-1.48068557376683,1
"S1","rep10","beta1",0.5,0.500545952042023,0.000545952042023012,2.98063632189097e-07,0.481406644588347,0.519728811483527,1
"S1","rep10","beta2",-0.4,-0.419095285462392,-0.0190952854623924,0.000364629926890255,-0.437031145648649,-0.4008749752394,0
"S1","rep10","r_mean",15,15.3813454599591,0.381345459959142,0.14542435983145,13.8706535465852,17.0730007907741,1
"S1","rep10","phi_vector",NA,NA,-4.69531820831056e-16,0.000986374701434301,NA,NA,0.777777777777778
"S1","rep11","beta0",-1.5,-1.50790135744091,-0.00790135744090881,6.2431449409005e-05,-1.52572453624181,-1.48968153350505,1
"S1","rep11","beta1",0.5,0.511450823707342,0.011450823707342,0.000131121363576625,0.49332740906311,0.529663646417579,1
"S1","rep11","beta2",-0.4,-0.408185534674855,-0.00818553467485461,6.70029779132472e-05,-0.425587393044304,-0.390646907754771,1
"S1","rep11","r_mean",15,16.2916360436738,1.29163604367385,1.66832366931743,14.650851661093,18.0166644859579,1
"S1","rep11","phi_vector",NA,NA,2.39777333790572e-16,0.000560854287905582,NA,NA,1
"S1","rep12","beta0",-1.5,-1.5059900960853,-0.00599009608529744,3.58812511110957e-05,-1.52401195449362,-1.48724574692367,1
"S1","rep12","beta1",0.5,0.491048360517828,-0.00895163948217204,8.01318494187812e-05,0.473352082048929,0.508949554780945,1
"S1","rep12","beta2",-0.4,-0.397133276900276,0.00286672309972441,8.21810133049353e-06,-0.416023811853344,-0.378804984411348,1
"S1","rep12","r_mean",15,15.1598719107503,0.159871910750274,0.0255590278469436,13.5568636016528,16.7744382474484,1
"S1","rep12","phi_vector",NA,NA,1.56510606943685e-16,0.000597507992492727,NA,NA,0.888888888888889
"S1","rep13","beta0",-1.5,-1.49226222272588,0.00773777727411984,5.98731971438854e-05,-1.50943092327923,-1.47419900703097,1
"S1","rep13","beta1",0.5,0.502542279758629,0.00254227975862897,6.46318637113459e-06,0.485234249068217,0.519788697917068,1
"S1","rep13","beta2",-0.4,-0.38547003787624,0.01452996212376,0.0002111197993179,-0.402994067012688,-0.367424549397414,1
"S1","rep13","r_mean",15,17.1248506595844,2.12485065958442,4.51499032553633,15.333244516572,19.1146719234795,0
"S1","rep13","phi_vector",NA,NA,4.78783679369599e-16,0.00122468048196456,NA,NA,0.777777777777778
"S1","rep14","beta0",-1.5,-1.503027231811,-0.00302723181099629,9.16413243750787e-06,-1.52014219452423,-1.48551521384178,1
"S1","rep14","beta1",0.5,0.504812208222907,0.00481220822290662,2.31573479806101e-05,0.488196553506028,0.521648922160796,1
"S1","rep14","beta2",-0.4,-0.401057183953835,-0.00105718395383486,1.11763791224591e-06,-0.417185143635303,-0.384514305253416,1
"S1","rep14","r_mean",15,16.99151482709,1.99151482708996,3.96613130651914,15.2181029523315,18.8625976819945,0
"S1","rep14","phi_vector",NA,NA,-1.16419219943332e-16,0.00128729089930145,NA,NA,0.777777777777778
"S1","rep15","beta0",-1.5,-1.49805875334102,0.00194124665898343,3.76843859101433e-06,-1.51620179414825,-1.48045000895654,1
