"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
71,-7.95886916366361,0.394080359469517,-0.393718160029519,1.18337509414507e-11,1.05283050161404,71999.3871465723,3.64847041467442e-16,0.0514822507183807,0.0188888888888889,0,0,-7.95886916366361,-7.90738691294523,-7.95886916366361,1.05283050161404,71999.3871465721,1.85515183462017e-16
72,-8.30916784826901,0.417397487567995,-0.401145823114009,2.0401918898569e-10,1.04167951666225,3981440.40565249,1.32301577101164e-16,0.0408340296251766,0,0,0,-8.30916784826901,-8.26833381864383,-8.30916784826901,1.04167951666225,3981440.40565248,1.99878693843105e-17
73,-7.53175209083133,0.50998993628739,-0.431257396698384,1.07785924543447e-12,1.04461718273047,51431.8281872287,1.81891538867755e-16,0.0436504328245464,0.0177777777777778,0,0,-7.53175209083133,-7.48810165800678,-7.53175209083133,1.04461718273047,51431.8281872286,1.12864964288109e-16
74,-8.0655658244695,0.483522927027318,-0.426555233364709,5.06935491830763e-10,1.02693810480724,1062544.49993403,-1.86455789080103e-16,0.0265813982209128,0,0,0,-8.0655658244695,-8.03898442624859,-8.0655658244695,1.02693810480724,1062544.49993403,4.47327360338553e-17
75,-7.85790732183053,0.500385998638315,-0.45269296478522,9.50141221091263e-11,1.06015489753529,243317.722713083,2.53254207728383e-16,0.0584132473143596,0.0244444444444444,0,0,-7.85790732183053,-7.79949407451617,-7.85790732183053,1.06015489753529,243317.722713083,1.71514037540356e-16
76,-7.94046850152778,0.546397169738442,-0.38192233597037,1.20331586233722e-11,1.04805086094265,143856.17391906,2.78234225782449e-16,0.0469321158144544,0.0222222222222222,0,0,-7.94046850152778,-7.89353638571333,-7.94046850152778,1.04805086094265,143856.173919059,9.74798945267234e-17
77,-7.57512410841621,0.542874826825702,-0.356149230761286,4.5964347509018e-10,1.04673405642501,51183.0558261319,3.66558635297073e-16,0.0456743447794076,0,0,0,-7.57512410841621,-7.5294497636368,-7.57512410841621,1.04673405642501,51183.0558261318,1.32936196772793e-16
78,-7.69867059515404,0.473358544797227,-0.359591946009515,1.94795153456007e-11,1.04053178150899,146357.769499726,2.31477645693287e-16,0.0397315085204763,0.0222222222222222,0,0,-7.69867059515404,-7.65893908663356,-7.69867059515404,1.04053178150899,146357.769499726,1.1586410843102e-16
79,-7.98575213612914,0.503576829190716,-0.424375396213875,2.50172505815946e-09,1.04813049785033,532380.701762078,3.46297065097663e-16,0.0470064662924435,0,0,0,-7.98575213612914,-7.93874566983669,-7.98575213612913,1.04813049785033,532380.701762076,5.24703737249234e-16
80,-7.78123877188661,0.515541546580529,-0.424596872879432,9.32905239837151e-11,1.03019314523545,46834.490048929,-1.0189380203782e-16,0.0297463032384447,0.0222222222222222,0,0,-7.78123877188661,-7.75149246864817,-7.78123877188661,1.03019314523545,46834.4900489291,2.01183591391146e-16
81,-7.44442511920677,0.498567423521568,-0.39126295066999,2.29395527043989e-10,1.08930781046557,9199.7485613991,3.49041783130764e-16,0.0855418960683721,0,0,0,-7.44442511920677,-7.3588832231384,-7.44442511920677,1.08930781046557,9199.74856139907,1.16292006888427e-16
