"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
44,-7.62849440715473,0.578979877741595,-0.430438851864203,1.24351483033619e-10,1.05376690163979,100945.491113415,1.57158237041383e-16,0.0523712690503678,0,0,0,-7.62849440715473,-7.57612313810436,-7.62849440715473,1.05376690163979,100945.491113414,6.94159236264764e-17
45,-7.90083136359429,0.557212474807761,-0.398075846755272,6.31858967779843e-11,1.03641098629202,179981.151177116,-1.27089696791119e-16,0.0357633357282216,0.0266666666666667,0,0,-7.90083136359429,-7.86506802786607,-7.90083136359429,1.03641098629202,179981.151177116,4.05462700451646e-17
46,-7.80628421224314,0.546234167624275,-0.428019015932512,4.89122579668554e-11,1.00831337795013,106597.545981117,6.59040723228878e-16,0.00827900585333598,0.0244444444444444,0,0,-7.80628421224314,-7.7980052063898,-7.80628421224314,1.00831337795013,106597.545981116,1.12163365015603e-16
47,-7.72722209862388,0.523607897251226,-0.361274877450511,1.23135803445883e-11,1.04626907435752,348140.297780553,1.22617965164156e-16,0.0452300705157817,0.00777777777777778,0,0,-7.72722209862388,-7.68199202810809,-7.72722209862388,1.04626907435752,348140.297780553,7.69754630406775e-17
48,-7.84814779558877,0.503251213000289,-0.411354531647057,4.3814320902528e-10,1.02748832290495,807907.741940709,1.00737319720502e-16,0.0271167433004511,0,0,0,-7.84814779558877,-7.82103105228832,-7.84814779558877,1.02748832290495,807907.741940708,9.41993396865984e-17
49,-7.84473094077359,0.571826026997128,-0.388852498947636,1.34839173847023e-09,1.05459368570634,1318640.32839537,2.76175687257623e-16,0.0531555475069196,0,0,0,-7.84473094077359,-7.79157539326667,-7.84473094077359,1.05459368570634,1318640.32839537,1.13967477430619e-16
50,-7.69326921652297,0.577486143107674,-0.416810587825382,1.3158174052076e-10,1.05514345503183,873765.914436788,-9.77613052239374e-17,0.0536767338937948,0,0,0,-7.69326921652297,-7.63959248262918,-7.69326921652297,1.05514345503183,873765.914436788,7.67441665772139e-17
51,-7.56718398511016,0.528734882220743,-0.383920604287798,1.4507385694384e-11,1.054967687689,32187.6357807973,2.86807614694832e-18,0.053507469910482,0.0211111111111111,0,0,-7.56718398511016,-7.51367651519968,-7.56718398511016,1.054967687689,32187.6357807973,5.73152636462737e-17
52,-7.53209264203974,0.537083480082134,-0.366431436264416,1.12674566995131e-10,1.05027129554496,8641.50626259453,-5.00371349292866e-17,0.0490485068190456,0,0,0,-7.53209264203974,-7.48304413522069,-7.53209264203974,1.05027129554496,8641.50626259453,7.97664403664713e-17
53,-7.72500281208033,0.552553495789408,-0.349103900784605,7.22802016974323e-10,1.0452824382829,60116.9399986372,-3.80559781218734e-17,0.0442871023580576,0,0,0,-7.72500281208033,-7.68071570972227,-7.72500281208033,1.0452824382829,60116.9399986372,1.3495377654888e-16
54,-8.09019692966616,0.537713663356063,-0.355726771394845,8.90645852641723e-11,1.01585463364641,204935.845496603,1.57836706667543e-16,0.0157302590047382,0.0144444444444444,0,0,-8.09019692966616,-8.07446667066142,-8.09019692966616,1.01585463364641,204935.845496602,1.9731130309866e-16
55,-7.57521560196395,0.534493918016784,-0.383420509304036,1.55974299415476e-09,1.0417327204059,103185.448555726,-1.86764184364721e-16,0.0408852258717019,0,0,0,-7.57521560196395,-7.53433037609225,-7.57521560196395,1.0417327204059,103185.448555726,1.0955742486058e-16
