"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta1",0.5,0.489532372485778,-0.0104676275142224,0.0143778046460445,1,99.0870080436556,0.215847619142718,NA,"S3","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.414218109035833,-0.0142181090358334,0.0169432589899585,1,54.5073700066496,0.11873691893576,NA,"S3","rep02","old_kappa_conditioned"
"r_mean",15,16.4669223910944,1.46692239109437,1.72350590159222,1,939.020737409251,2.04552942406059,NA,"S3","rep02","old_kappa_conditioned"
"beta0",-1.40397869793906,-1.40118309118627,0.00279560675279256,0.0100683198125912,1,288.701211594714,0.631606929914673,NA,"S3","rep03","old_kappa_conditioned"
"beta1",0.5,0.498918117366642,-0.00108188263335846,0.0097027304689341,1,48.9418956532821,0.107072777031393,NA,"S3","rep03","old_kappa_conditioned"
"beta2",-0.4,-0.409950111684089,-0.00995011168408932,0.013584380285492,1,76.7604744600005,0.167932955129178,NA,"S3","rep03","old_kappa_conditioned"
"r_mean",15,14.8427447555729,-0.157255244427143,0.78621692306804,1,1227.9420112446,2.68643376850189,NA,"S3","rep03","old_kappa_conditioned"
"beta0",-1.59011227919885,-1.59441755329287,-0.00430527409402504,0.0105177093597654,1,346.655671951987,0.763140198331706,NA,"S3","rep04","old_kappa_conditioned"
"beta1",0.5,0.505645714541676,0.00564571454167562,0.0114790050746098,1,112.908815387335,0.248561505666126,NA,"S3","rep04","old_kappa_conditioned"
"beta2",-0.4,-0.413408007983752,-0.0134080079837524,0.0162763759964463,1,102.803926778913,0.226316242366875,NA,"S3","rep04","old_kappa_conditioned"
"r_mean",15,15.393432330891,0.393432330891013,0.965933801849274,1,725.392431113724,1.59690484979319,NA,"S3","rep04","old_kappa_conditioned"
"beta0",-1.53963015075169,-1.52826954700945,0.0113606037422394,0.0145016479053689,1,180.1155274284,0.389807293439235,NA,"S3","rep05","old_kappa_conditioned"
"beta1",0.5,0.48930827256054,-0.01069172743946,0.0148881309808351,1,53.8260988646467,0.1164908223871,NA,"S3","rep05","old_kappa_conditioned"
