"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta1",0.5,0.510351055003326,0.0103510550033257,0.0146967494863601,1,1234.03786634065,2.44156038688122,NA,"S2","rep13","revised_kappa_collapsed"
"beta2",-0.4,-0.38553390323265,0.0144660967673501,0.0176544505990265,1,1615.4522878963,3.19619390993264,NA,"S2","rep13","revised_kappa_collapsed"
"r_mean",15,15.4841860698841,0.484186069884064,0.972472749413075,1,3175.95229737309,6.28366400367007,NA,"S2","rep13","revised_kappa_collapsed"
"beta0",-1.59786012831472,-1.59388458910474,0.00397553920997917,0.00979782165739991,1,3704.60195748948,7.33645562104602,NA,"S2","rep14","revised_kappa_collapsed"
"beta1",0.5,0.508986719280721,0.00898671928072081,0.0131084665642432,1,1694.92166990346,3.35655969388481,NA,"S2","rep14","revised_kappa_collapsed"
"beta2",-0.4,-0.402059446548837,-0.00205944654883666,0.00926518608259451,1,1885.07427648599,3.73313082768737,NA,"S2","rep14","revised_kappa_collapsed"
"r_mean",15,16.6607269040975,1.66072690409754,1.89501352043074,1,2412.03584643345,4.77670587739019,NA,"S2","rep14","revised_kappa_collapsed"
"beta0",-1.47860563894211,-1.47133633906998,0.00726929987212555,0.0118286709361439,1,3657.20862133398,7.18467635701166,NA,"S2","rep15","revised_kappa_collapsed"
"beta1",0.5,0.508266579359492,0.00826657935949215,0.0124848873036464,1,1787.17875459399,3.51095665393061,NA,"S2","rep15","revised_kappa_collapsed"
"beta2",-0.4,-0.403053223705611,-0.00305322370561117,0.0100365614129299,1,1721.3883054235,3.38170969713547,NA,"S2","rep15","revised_kappa_collapsed"
"r_mean",15,16.3413400726496,1.34134007264959,1.61992695092872,1,2943.96093838821,5.78348372762191,NA,"S2","rep15","revised_kappa_collapsed"
"beta0",-1.42601383331857,-1.41468282695795,0.0113310063606218,0.0146085689851235,1,3090.59641408572,6.10197696324129,NA,"S2","rep16","revised_kappa_collapsed"
"beta1",0.5,0.511329865824792,0.0113298658247922,0.0151007123677331,1,1716.71275884499,3.38942401512926,NA,"S2","rep16","revised_kappa_collapsed"
"beta2",-0.4,-0.393928802266583,0.00607119773341724,0.0110445715645671,1,2250.13111319026,4.44258854193398,NA,"S2","rep16","revised_kappa_collapsed"
"r_mean",15,16.2413749740413,1.24137497404128,1.55888641872775,1,2786.10259973596,5.50079389315695,NA,"S2","rep16","revised_kappa_collapsed"
"beta0",-1.73274692242974,-1.74286383996204,-0.010116917532295,0.0136645482103489,1,3365.7420364257,6.65120404008559,NA,"S2","rep17","revised_kappa_collapsed"
"beta1",0.5,0.510345487309467,0.0103454873094667,0.0143926433594908,1,1882.09656893785,3.71930117271986,NA,"S2","rep17","revised_kappa_collapsed"
"beta2",-0.4,-0.397591339401121,0.00240866059887934,0.0101035414773355,1,1921.91199575937,3.79798234461806,NA,"S2","rep17","revised_kappa_collapsed"
"r_mean",15,14.7305063588034,-0.269493641196645,0.862082718255136,1,2596.82219766406,5.13170471936387,NA,"S2","rep17","revised_kappa_collapsed"
"beta0",-1.46984395968342,-1.48657483936418,-0.0167308796807615,0.0190660290219101,1,3400.18758563308,6.71988439597042,NA,"S2","rep18","revised_kappa_collapsed"
"beta1",0.5,0.503878985139538,0.00387898513953799,0.0109346889648388,1,1504.83449958628,2.97404587764971,NA,"S2","rep18","revised_kappa_collapsed"
"beta2",-0.4,-0.394057807997344,0.00594219200265561,0.0112871819432912,1,1691.51181965308,3.34298140800073,NA,"S2","rep18","revised_kappa_collapsed"
"r_mean",15,15.4013063873785,0.401306387378472,0.914951927592746,1,2372.25296687769,4.68834889074153,NA,"S2","rep18","revised_kappa_collapsed"
"beta0",-1.6457324988502,-1.65350629092153,-0.00777379207133455,0.0121731959323967,1,3502.95109021579,6.88772263545369,NA,"S2","rep19","revised_kappa_collapsed"
"beta1",0.5,0.506509661807105,0.00650966180710455,0.0121642787526324,1,1413.68642187947,2.77967910959698,NA,"S2","rep19","revised_kappa_collapsed"
"beta2",-0.4,-0.413979735254724,-0.013979735254724,0.0171572037484891,1,1892.97201484024,3.7220805712398,NA,"S2","rep19","revised_kappa_collapsed"
"r_mean",15,15.3241557063095,0.324155706309499,0.933928069087645,1,2672.77337387077,5.2553750230962,NA,"S2","rep19","revised_kappa_collapsed"
"beta0",-1.39437501026065,-1.40350785818478,-0.00913284792412394,0.0134724878061657,1,3188.9473425973,2.57132529261191,NA,"S2","rep20","revised_kappa_collapsed"
"beta1",0.5,0.515830949745028,0.015830949745028,0.0191994786106416,1,1277.09535025181,1.02975283765738,NA,"S2","rep20","revised_kappa_collapsed"
"beta2",-0.4,-0.411885969744527,-0.0118859697445266,0.0156931582078814,1,1949.1885254183,1.57167780368392,NA,"S2","rep20","revised_kappa_collapsed"
"r_mean",15,14.8258907621839,-0.174109237816104,0.882030001780076,1,2515.15840002862,2.02803298835643,NA,"S2","rep20","revised_kappa_collapsed"
"beta0",-1.55101809603453,-1.55446031530182,-0.00344221926729094,0.0100489190906109,1,3067.69870641102,10.2586267419673,NA,"S3","rep01","revised_kappa_collapsed"
"beta1",0.5,0.48804818462293,-0.01195181537707,0.0160681585164893,1,1115.37134339573,3.72988985739412,NA,"S3","rep01","revised_kappa_collapsed"
"beta2",-0.4,-0.397121106276563,0.00287889372343653,0.0104031651741786,1,1985.85114611803,6.64084306276829,NA,"S3","rep01","revised_kappa_collapsed"
"r_mean",15,15.4382626273851,0.438262627385088,0.984169490007143,1,1702.29357346048,5.69260414619124,NA,"S3","rep01","revised_kappa_collapsed"
